"","Account","Date","month","day","year","hour","PeakHour","temperature","DayOfWeek","Weekday","kWh"
"1",999999999,2014-01-01,1,1,2014,0,0,23,2,1,78.405
"2",999999999,2014-01-01,1,1,2014,1,0,21.9,3,1,76.425
"3",999999999,2014-01-01,1,1,2014,2,0,21.9,4,1,78.015
"4",999999999,2014-01-01,1,1,2014,3,0,21.9,5,0,78.12
"5",999999999,2014-01-01,1,1,2014,4,0,21,6,0,77.535
"6",999999999,2014-01-01,1,1,2014,5,0,21,0,1,104.099999
"7",999999999,2014-01-01,1,1,2014,6,0,21,1,1,158.264998
"8",999999999,2014-01-01,1,1,2014,7,1,19.9,2,1,249.164995
"9",999999999,2014-01-01,1,1,2014,8,1,23,3,1,240.524994
"10",999999999,2014-01-01,1,1,2014,9,1,24.1,4,1,224.069994
"11",999999999,2014-01-01,1,1,2014,10,1,26.1,5,0,223.394993
"12",999999999,2014-01-01,1,1,2014,11,1,26.1,6,0,215.039996
"13",999999999,2014-01-01,1,1,2014,12,1,27,0,1,210.675
"14",999999999,2014-01-01,1,1,2014,13,1,28,1,1,196.049998
"15",999999999,2014-01-01,1,1,2014,14,1,27,2,1,196.559993
"16",999999999,2014-01-01,1,1,2014,15,1,27,3,1,151.829996
"17",999999999,2014-01-01,1,1,2014,16,1,26.1,4,1,103.739998
"18",999999999,2014-01-01,1,1,2014,17,1,25,5,0,99.584999
"19",999999999,2014-01-01,1,1,2014,18,1,24.1,6,0,97.589998
"20",999999999,2014-01-01,1,1,2014,19,1,24.1,0,1,91.47
"21",999999999,2014-01-01,1,1,2014,20,0,23,1,1,93.6
"22",999999999,2014-01-01,1,1,2014,21,0,21.9,2,1,79.35
"23",999999999,2014-01-01,1,1,2014,22,0,23,3,1,76.44
"24",999999999,2014-01-01,1,1,2014,23,0,23,4,1,78.975
"25",999999999,2014-01-02,1,2,2014,0,0,21,5,0,78.66
"26",999999999,2014-01-02,1,2,2014,1,0,20.16666667,6,0,77.385
"27",999999999,2014-01-02,1,2,2014,2,0,19.2,0,1,79.485
"28",999999999,2014-01-02,1,2,2014,3,0,19.2,1,1,83.685
"29",999999999,2014-01-02,1,2,2014,4,0,19.2,2,1,162.194999
"30",999999999,2014-01-02,1,2,2014,5,0,19.26666667,3,1,170.474997
"31",999999999,2014-01-02,1,2,2014,6,0,19.26666667,4,1,205.874997
"32",999999999,2014-01-02,1,2,2014,7,1,19.2,5,0,264.044997
"33",999999999,2014-01-02,1,2,2014,8,1,19.56666667,6,0,263.534995
"34",999999999,2014-01-02,1,2,2014,9,1,24.1,0,1,269.009995
"35",999999999,2014-01-02,1,2,2014,10,1,25.8,1,1,80.82
"36",999999999,2014-01-02,1,2,2014,11,1,24.56666667,2,1,33.45
"37",999999999,2014-01-02,1,2,2014,12,1,24.1,3,1,24.825
"38",999999999,2014-01-02,1,2,2014,13,1,25.83333333,4,1,28.995
"39",999999999,2014-01-02,1,2,2014,14,1,19.9,5,0,20.775
"40",999999999,2014-01-02,1,2,2014,15,1,13.95,6,0,6
"55",999999999,2014-01-03,1,3,2014,6,0,3.1,0,1,6.975
"56",999999999,2014-01-03,1,3,2014,7,1,3.9,1,1,50.79
"57",999999999,2014-01-03,1,3,2014,8,1,5,2,1,51.945
"58",999999999,2014-01-03,1,3,2014,9,1,6.1,3,1,40.275
"59",999999999,2014-01-03,1,3,2014,10,1,8.8,4,1,41.1
"60",999999999,2014-01-03,1,3,2014,11,1,9.75,5,0,40.995
"61",999999999,2014-01-03,1,3,2014,12,1,12,6,0,40.095
"62",999999999,2014-01-03,1,3,2014,13,1,14,0,1,39.06
"63",999999999,2014-01-03,1,3,2014,14,1,14,1,1,37.785
"64",999999999,2014-01-03,1,3,2014,15,1,12.9,2,1,20.295
"126",999999999,2014-01-06,1,6,2014,5,0,44.73333333,1,1,0.21
